Top scorer odds per player,Not a product on TheOddsAPI or API Football — would need Betfair Exchange API
Player injury status,Not available — would need separate injury API
Team lineup (starting 11),Available on API Football (/fixtures/lineups) — not currently fetched — could add
Player market value,Not in either API — would need Transfermarkt
Tournament bracket (live),Derived from game results in our own DB — no API needed
,,,,,,
=== SECTION 6: LINEUPS — AVAILABLE BUT NOT FETCHED ===,,,,,,
endpoint,/fixtures/lineups?fixture=ID,,,,
fields_available,formation / startXI (11 players + position) / substitutes,,,,
example_data,"4-3-3 | Messi (10 / F) / Di María (11 / M) / Álvarez (9 / F) | sub: Dybala",,,,
value_for_app,Show starting lineup on Game page before kickoff — helps users make predictions,,,,
effort,New EF call (4th per game — increases API cost from 3→4 calls per fixture),,,,
recommendation,OPTIONAL — useful but not critical for prediction scoring,,,,
daily_cost_impact,"104 games × 4 calls = 416 calls — well within 7500/day Pro limit",,,,
,,,,,,
=== SECTION 7: API USAGE SUMMARY ===,,,,,,
api,plan,daily_limit,calls_per_game_sync,max_games_per_day,wc2026_games,buffer
API Football,Pro (expires 2026-10-01),7500/day,3 (fixtures+stats+players),2500,104,24× headroom
TheOddsAPI,Free (500/month),~16/day,1 (all games in one call),N/A — 1 call per sync,104,ample for daily sync
